"platform","brand","keyword_matched","text","created_at","date","author","like_count","repost_count","post_uri"
"Bluesky","galaxy z","galaxy z","“Honey,” she said, reaching over to gracefully close my Samsung Galaxy Z Flip, “Let’s not Stancil tonight.”","2025-12-29T03:15:34.938Z","2025-12-29 03:15:34.938000+00:00","real-danger.bsky.social","2","0","at://did:plc:756iu2kotsgjbm4hu36rjfur/app.bsky.feed.post/3mb3uo2y6gk2i"
"Bluesky","galaxy s","galaxy s","wccftech.com/samsung-eyei...","2025-12-29T06:44:02.179Z","2025-12-29 06:44:02.179000+00:00","retro-zero.bsky.social","0","0","at://did:plc:t5ofhecfuqtxzlojpncjjjtu/app.bsky.feed.post/3mb4acssuxs2w"
"Bluesky","galaxy fold","galaxy fold","Samsung’un gizli “iPhone Fold” planları ortaya çıktı Katlanabilir telefon pazarında dengeleri değiştirecek bir hamle yolda. Samsung, Apple’ın yaklaşan hamlesine karşı geniş ekranlı ve kalem destekli özel bir model üzerinde çalışıyor. Galaxy Z Fold 8 bekleyenleri ise büyük bir sürpriz…","2025-12-29T08:16:27Z","2025-12-29 08:16:27+00:00","ercanceviz.bsky.social","0","0","at://did:plc:v7nvkhezqq33xrcgasafhbw4/app.bsky.feed.post/3mb4fi4vi4g2x"
"Bluesky","galaxy fold","galaxy fold","Samsung’un zımnî “iPhone Fold” planları ortaya çıktı Katlanabilir telefon pazarında istikrarları değiştirecek bir atılım yolda. Samsung, Apple’ın yaklaşan atağına karşı geniş ekranlı ve kalem dayanaklı özel bir model üzerinde çalışıyor. Galaxy Z Fold 8 bekleyenleri ise büyük bir sürpriz…","2025-12-29T08:48:41Z","2025-12-29 08:48:41+00:00","teknogundemms.bsky.social","0","0","at://did:plc:if3rj673jdhdkpahoz7sq775/app.bsky.feed.post/3mb4hbqz7sm2i"
"Bluesky","galaxy z","galaxy z","7 biggest Samsung devices for 2026: Galaxy S26, Galaxy Z TriFold, Galaxy Glasses and more Samsung's mobile devices launch schedule should be busy once again in 2026. Here's what's rumor... #Samsung #Phones #Phones #Android #Phones Origin | Interest | Match","2025-12-29T09:45:00.000Z","2025-12-29 09:45:00+00:00","android.activitypub.awakari.com.ap.brid.gy","0","0","at://did:plc:etkadjdby46s2skc4shoxp6q/app.bsky.feed.post/3mb4l7tfeokx2"
"Bluesky","galaxy z","galaxy z","記事の要約: ITmedia Mobileは「スマートフォン・オブ・ザ・イヤー2025」を開催し、2025年に発売されたスマートフォンの中からベストモデルを選定しました。審査員は8名で、ハイエンド部門とミッドレンジ部門に分かれ、各25点を持ち点として投票を行いました。ハイエンド部門ではGalaxy Z Fold7が高評価を受け、iPhone Airも9点を獲得しました。ミッドレンジ部門では、価格の魅力が評価されたarrows Alphaや個性的なデザインのNothing Phone (3a)が注目されました。","2025-12-29T10:25:31.499493+00:00","2025-12-29 10:25:31.499493+00:00","buchikuma.bsky.social","0","0","at://did:plc:jf26a7dgps3fck4zc7anchdl/app.bsky.feed.post/3mb4mouq2y727"
"Bluesky","galaxy s","galaxy s","Blagdanska FE priča traje i dalje novimilenij.eu/index.php/pa... #GalaxyFE #S25_FE_Series #Buds3_FE","2025-12-29T10:54:51.980Z","2025-12-29 10:54:51.980000+00:00","cobrettizagreb.bsky.social","0","0","at://did:plc:ya3f2itgx75rpgbjetj7hjq7/app.bsky.feed.post/3mb4oddraki2h"
"Bluesky","galaxy z","galaxy z","TOP 8+ điện thoại Samsung 512GB tốt nhất trong mọi phân khúc giá – Viettel Store Với thời lượng pin 4000mAh và được hỗ trợ đa dạng SIMGalaxy S25 là thiết bị cân bằng giữa camera và dung lượng bộ nhớ. Samsung Galaxy Z Flip6 5G ... TOP 8+ điện thoại Samsung 512GB tốt nhất trong mọi phân khúc giá -…","2025-12-29T11:07:14Z","2025-12-29 11:07:14+00:00","raisewill8488.bsky.social","0","0","at://did:plc:nbpuoxjqisx6dfs7hvr3jlrz/app.bsky.feed.post/3mb4ozj432z2d"
"Bluesky","galaxy s","galaxy s","After eight months, I had four hours of sound from the galaxy. Then I pressed “execute” #Mondo2000 #Cyberpunk Next time, I’ll use a pulsar, because I want а cosmic drummer","2025-12-29T11:36:04.290Z","2025-12-29 11:36:04.290000+00:00","taonf.bsky.social","5","1","at://did:plc:xp2mldlzy72blkg4do2cnbn7/app.bsky.feed.post/3mb4qmz7mac2e"
"Bluesky","galaxy fold","galaxy fold","Samsung Galaxy Z Fold 8 Wide Edition: The Future of Foldable Smartphones Samsung is poised to reshape the foldable smartphone landscape with its upcoming Galaxy Z Fold 8 Wide Edition. Internally re... #Android #News #Technology #News #Top #News Origin | Interest | Match","2025-12-29T12:00:38.000Z","2025-12-29 12:00:38+00:00","android.activitypub.awakari.com.ap.brid.gy","0","0","at://did:plc:etkadjdby46s2skc4shoxp6q/app.bsky.feed.post/3mb4s4r3sxm22"
"Bluesky","galaxy s","galaxy s","Samsung Telefonlardaki Qualcomm Dönemi Bitebilir! Her şey Exynos 2600’ün Başarısına Bağlı Samsung ve Qualcomm arasındaki iş birliği pamuk ipliğine bağlı. Uzun zamandır başta Galaxy S serisi olmak üzere birçok akıllı telefon modelinde Qualcomm'un işlemcilerini kullanan Samsung, yakın gelecekte bu…","2025-12-29T12:01:34Z","2025-12-29 12:01:34+00:00","ercanceviz.bsky.social","0","0","at://did:plc:v7nvkhezqq33xrcgasafhbw4/app.bsky.feed.post/3mb4s2o47vz2o"
